(1, 4, 48, 1, 1, 'Aluguel', 'Mensal', 'Dinheiro', '2024-01-26 11:00:00'),
(66, 264, 0, 0, 1, 'Aluguel', 'Anual', 'Boleto', '2024-02-17 09:00:00'),
(67, 268, 0, 0, 1, 'Aluguel', 'Mensal', 'Dinheiro', '2024-03-16 13:30:00'),
(68, 272, 0, 0, 1, 'Aluguel', 'Mensal', 'Cartão', '2024-04-17 10:30:00'),
(69, 276, 0, 0, 1, 'Aluguel', 'Anual', 'Dinheiro', '2024-05-17 12:00:00'),
(70, 280, 0, 0, 2, 'Aluguel', 'Mensal', 'Boleto', '2024-06-17 10:45:00'),
(71, 284, 0, 0, 1, 'Aluguel', 'Anual', 'Cartão', '2024-07-17 13:00:00'),
(72, 288, 0, 0, 1, 'Aluguel', 'Mensal', 'Dinheiro', '2024-08-17 12:30:00'),
(73, 292, 0, 0, 1, 'Aluguel', 'Anual', 'Boleto', '2024-09-17 13:45:00'),
(74, 296, 0, 0, 1, 'Aluguel', 'Mensal', 'Cartão', '2024-10-07 14:00:00'),
(75, 300, 0, 0, 1, 'Aluguel', 'Anual', 'Dinheiro', '2024-10-27 11:00:00'),
(76, 304, 0, 0, 4, 'Aluguel', 'Mensal', 'Boleto', '2024-11-16 11:00:00'),
(77, 308, 0, 0, 4, 'Aluguel', 'Anual', 'Cartão', '2024-12-07 11:15:00'),
(78, 311, 0, 0, 4, 'Aluguel', 'Mensal', 'Dinheiro', '2024-06-12 13:30:00'),
(79, 313, 0, 0, 1, 'Aluguel', 'Anual', 'Boleto', '2024-07-03 12:30:00'),
(80, 316, 0, 0, 1, 'Aluguel', 'Mensal', 'Dinheiro', '2024-07-12 10:00:00'),
(81, 319, 0, 0, 4, 'Compra', NULL, 'Transferência', '2024-07-14 15:00:00'),
(82, 321, 0, 0, 3, 'Compra', NULL, 'Cartão', '2024-08-04 09:45:00'),
(83, 323, 0, 0, 1, 'Aluguel', 'Mensal', 'Dinheiro', '2024-08-12 11:30:00'),
(84, 325, 0, 0, 1, 'Aluguel', 'Anual', 'Boleto', '2024-09-03 10:00:00'),
(85, 327, 0, 0, 4, 'Compra', NULL, 'Cartão', '2024-09-04 08:30:00'),
(86, 330, 0, 0, 4, 'Compra', NULL, 'Transferência', '2024-09-14 11:00:00'),
(87, 332, 0, 0, 4, 'Compra', NULL, 'Cartão', '2024-10-04 09:15:00'),
(88, 334, 0, 0, 1, 'Aluguel', 'Mensal', 'Dinheiro', '2024-10-12 15:00:00'),
(89, 337, 0, 0, 2, 'Aluguel', 'Anual', 'Boleto', '2024-11-03 14:00:00'),
(90, 339, 0, 0, 4, 'Compra', NULL, 'Cartão', '2024-11-04 10:30:00'),
(91, 342, 0, 0, 4, 'Compra', NULL, 'Transferência', '2024-11-14 09:00:00'),
(92, 345, 0, 0, 4, 'Compra', NULL, 'Cartão', '2024-12-04 11:15:00'),
(93, 348, 0, 0, 4, 'Compra', NULL, 'Transferência', '2024-12-14 12:30:00'),
(94, 350, 0, 0, 4, 'Aluguel', 'Anual', 'Boleto', '2024-12-22 14:00:00'),
(95, 352, 0, 0, 1, 'Aluguel', 'Mensal', 'Dinheiro', '2024-12-31 11:30:00');
